,gender,Nationality,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisitedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
98,1,0,0,0,2,2,0,0,0,10,3,0,30,0,0,0,2
99,0,0,0,0,2,1,0,0,0,50,7,9,50,1,0,1,2
100,0,0,0,0,2,1,0,0,0,50,90,40,90,1,0,0,2
101,1,0,0,0,2,1,0,0,1,70,92,50,7,1,1,0,3
102,1,0,0,0,2,1,0,0,0,2,6,2,8,0,0,1,1
103,0,0,0,0,2,1,0,0,0,1,7,6,10,0,0,1,1
104,0,0,0,0,2,1,0,0,0,0,12,3,3,1,1,1,2
105,1,0,0,0,2,1,0,0,0,0,0,5,80,1,1,1,1
106,1,0,0,0,2,1,0,0,0,12,26,7,40,1,1,0,2
107,0,0,0,0,2,1,0,0,0,70,90,41,33,1,0,0,3
108,0,6,4,0,2,1,0,0,0,7,12,5,3,0,0,1,2
109,0,0,0,0,2,1,0,0,0,90,70,30,14,0,0,0,2
110,1,1,1,0,2,1,0,0,1,70,88,55,40,1,1,0,3
111,0,0,0,0,2,2,0,0,0,77,80,51,80,0,1,0,2
112,0,0,0,0,2,1,0,0,0,2,5,3,50,0,0,1,1
113,0,0,0,0,2,1,0,0,0,25,27,0,69,0,0,1,1
114,0,0,0,0,2,1,0,0,0,11,2,0,50,0,0,1,1
115,0,0,0,0,2,1,0,0,0,0,8,11,70,1,1,1,1
116,1,0,0,0,2,2,0,0,1,77,80,12,19,1,1,1,2
117,1,0,0,0,2,2,0,0,1,25,29,40,17,0,1,0,3
118,1,0,0,0,2,2,0,0,1,24,35,23,22,1,1,1,2
119,0,0,0,0,2,2,0,0,0,60,60,3,60,0,0,0,2
120,0,0,0,0,2,2,0,0,1,21,12,0,50,1,1,0,2
121,0,0,0,0,2,2,0,0,1,0,4,8,30,0,0,1,1
122,1,0,0,0,2,1,0,0,0,66,90,55,12,1,1,1,2
123,1,4,3,0,2,1,0,0,0,70,98,7,5,1,1,0,2
124,0,0,0,0,2,2,0,0,0,0,6,4,15,1,0,0,1
125,0,0,0,0,2,1,0,0,0,12,30,0,17,0,1,1,1
126,1,10,9,0,2,2,0,0,0,2,9,7,55,1,1,0,2
127,0,0,0,0,2,1,0,0,0,55,33,6,9,0,0,1,1
128,0,0,0,0,2,2,0,0,0,12,10,20,16,0,0,0,1
129,0,0,0,0,2,1,0,0,0,70,90,2,2,1,1,0,1
130,1,0,0,0,2,2,0,0,0,7,9,5,30,0,0,1,1
131,0,1,1,0,2,2,0,0,0,80,42,20,50,1,1,0,2
132,0,0,0,0,2,2,0,1,0,0,3,10,3,0,0,1,1
133,0,0,0,0,2,0,0,1,0,12,60,0,70,1,1,1,1
134,0,0,0,1,7,0,9,1,0,80,80,15,70,1,1,0,3
135,1,7,7,1,7,0,9,1,1,70,80,95,70,1,1,0,3
136,1,13,5,2,11,0,9,1,1,70,80,95,70,1,1,0,3
137,1,13,5,2,11,0,9,0,1,60,80,50,40,0,0,0,2
138,1,1,7,1,7,0,9,0,1,100,80,95,90,0,0,0,3
139,0,1,5,1,7,0,9,0,1,100,85,85,70,0,0,0,2
140,0,5,8,1,7,0,9,0,0,10,60,5,20,1,0,1,1
141,0,5,8,1,7,0,9,1,0,19,65,50,10,0,0,1,1
142,0,5,8,1,7,0,9,1,0,10,75,55,11,1,1,0,2
143,0,0,0,1,7,0,9,1,0,80,90,55,19,1,1,0,3
144,0,0,0,1,7,0,9,1,0,10,10,15,19,0,0,1,1
145,0,5,4,1,7,0,9,1,0,70,75,55,11,1,0,0,2
146,1,4,3,1,7,0,9,1,1,100,75,50,70,1,1,0,3
147,1,4,3,1,7,0,9,1,0,10,79,30,30,0,0,0,2
148,1,1,1,1,7,0,9,1,0,60,55,30,40,0,0,0,2
149,1,1,3,1,7,0,9,1,1,100,75,50,70,1,0,0,3
150,0,6,4,2,11,0,9,1,0,80,80,51,59,1,1,0,3
151,0,6,5,2,11,0,3,1,0,23,63,71,89,1,1,0,2
152,1,6,5,2,11,1,3,1,0,100,91,98,40,1,0,0,3
153,0,6,5,2,11,1,6,1,0,10,51,40,40,0,0,1,1
154,0,6,5,2,11,1,4,1,0,70,50,33,41,0,0,1,2
155,0,6,5,2,11,1,10,1,0,70,58,73,91,1,0,0,3
156,1,5,5,2,11,1,1,1,0,70,50,30,49,1,1,0,2
157,0,5,8,2,11,1,3,1,0,70,50,33,40,0,1,0,2
158,0,5,0,1,7,1,3,1,0,22,51,48,10,0,0,1,1
159,1,0,0,1,7,1,3,1,0,62,68,48,80,1,1,0,2
160,1,1,1,1,7,1,3,1,1,82,89,58,50,1,1,0,3
161,0,1,1,1,7,1,3,1,1,72,80,58,66,0,0,0,2
162,1,1,1,0,2,1,1,1,1,70,82,3,73,0,0,0,3
163,1,1,5,0,2,1,1,1,1,60,82,93,43,0,0,1,2
164,0,1,1,0,2,1,1,1,1,55,72,83,14,1,1,1,2
165,1,12,12,0,2,1,1,1,1,72,65,73,66,1,1,0,3
166,0,0,0,0,2,1,1,1,1,51,82,53,43,0,0,0,2
167,0,5,8,0,2,1,1,1,1,80,92,83,43,1,1,0,3
168,0,0,0,0,2,1,1,1,1,60,52,23,33,1,1,0,3
169,0,0,0,0,2,1,1,1,1,30,12,29,23,0,0,0,2
170,0,0,0,0,2,1,1,1,0,40,62,83,33,1,1,0,3
171,0,0,0,0,2,1,1,1,1,60,52,23,33,0,1,0,2
172,0,10,9,0,2,1,1,1,1,20,22,53,13,0,1,1,1
173,0,8,10,0,2,1,1,1,1,20,52,23,33,1,1,1,1
174,1,1,1,0,2,1,1,1,0,50,62,73,43,1,0,1,2
175,0,10,9,0,2,1,1,1,0,10,2,13,53,0,0,1,1
176,0,5,8,0,2,1,1,1,1,60,52,23,33,1,0,0,3
177,1,9,5,0,2,1,1,1,1,15,52,83,11,1,0,0,2
178,1,4,3,0,2,1,1,1,1,80,42,33,13,1,0,0,3
179,0,4,3,0,2,1,1,1,1,40,51,20,33,0,0,0,2
180,1,6,4,0,2,1,1,1,0,60,70,63,93,1,0,0,3
181,0,1,1,0,2,1,1,1,0,50,62,13,33,0,0,1,1
182,0,0,0,1,8,0,2,1,1,85,75,62,53,1,0,0,3
183,1,4,3,1,8,0,2,1,0,25,15,32,53,0,0,0,2
184,0,4,3,1,8,0,2,1,1,10,35,30,13,0,0,1,1
185,0,4,1,1,8,0,2,1,1,87,65,82,33,1,1,0,3
186,0,0,0,1,8,0,2,1,1,85,15,22,53,1,1,0,2
187,1,0,0,1,8,0,2,1,0,80,71,52,51,1,1,0,2
188,0,0,0,1,8,0,2,1,1,75,71,72,53,1,1,0,3
189,1,0,0,1,8,0,2,1,0,85,66,12,23,0,0,0,2
190,0,0,0,1,8,0,2,1,0,23,25,32,53,0,0,0,1
191,0,0,0,1,8,0,2,1,0,15,25,37,13,1,1,1,1
192,0,0,0,1,8,0,2,1,1,95,91,62,53,1,1,0,2
193,0,12,12,1,8,0,2,1,1,81,75,62,53,0,0,0,2
194,0,12,12,1,8,0,2,1,1,53,75,72,23,0,0,0,2
195,0,0,0,1,8,0,2,1,0,15,43,42,33,1,1,0,2
196,0,0,0,1,8,0,2,1,1,92,65,62,53,1,1,0,3
197,0,0,0,1,8,0,2,1,1,83,75,62,53,0,0,0,3
198,0,12,12,1,8,1,2,1,0,27,15,42,53,0,0,1,1
199,0,0,0,1,8,1,2,1,0,45,95,12,13,0,0,0,2
200,0,0,0,1,8,1,2,1,1,15,90,52,83,1,0,0,3
201,1,4,3,1,8,0,2,1,1,45,58,52,43,1,1,0,3
202,0,0,0,1,8,1,2,1,0,25,5,12,33,1,1,0,2
203,1,0,0,1,8,1,2,1,0,22,51,42,40,1,0,0,2
204,0,1,1,1,8,1,2,1,0,29,10,12,24,0,0,1,1
205,1,6,4,1,8,1,2,1,1,72,51,42,24,1,0,1,3
206,0,0,0,1,8,1,2,1,0,67,31,42,14,1,1,0,2
207,0,0,0,1,8,2,6,1,0,17,21,42,14,1,1,0,2
208,0,5,8,1,8,2,6,1,1,27,41,49,14,0,0,0,2
209,0,0,0,1,8,2,6,1,0,70,81,39,84,0,0,0,2
210,0,1,4,1,8,2,6,1,1,27,90,82,14,1,1,0,3
211,0,0,0,1,8,2,6,1,0,17,61,42,14,0,0,0,2
212,0,5,8,1,8,2,6,1,1,87,81,42,19,1,1,0,3
213,0,5,8,1,8,2,6,1,0,7,61,22,14,0,0,1,1
214,0,0,0,1,8,2,6,1,0,17,50,2,4,0,0,1,1
215,0,0,0,1,8,2,6,1,0,5,21,42,14,0,1,1,1
216,0,10,9,1,8,2,6,1,1,27,41,32,61,1,0,1,2
217,1,1,0,1,8,2,6,1,0,87,88,40,10,1,1,0,2
218,0,0,0,1,8,2,6,1,1,96,61,42,94,1,0,0,3
219,0,0,0,1,8,2,6,1,1,57,51,46,34,1,1,0,2
220,0,4,3,1,8,2,6,1,0,77,69,41,13,1,1,0,2
221,0,4,3,1,8,2,6,1,0,80,51,40,24,0,1,0,2
222,0,0,0,1,8,1,6,1,0,62,61,82,40,1,0,0,2
223,0,0,0,1,8,0,6,1,1,72,83,12,90,1,1,0,3
224,0,0,0,1,8,1,6,1,1,87,81,22,70,1,0,0,3
225,0,0,0,1,8,0,6,1,1,72,90,12,30,0,0,0,2
226,0,0,0,1,8,1,6,1,0,2,11,62,30,0,0,0,1
227,0,0,0,1,8,0,6,1,0,5,3,2,10,1,1,0,1
228,0,0,0,2,11,1,10,1,1,73,84,77,81,1,1,1,3
229,0,0,0,1,8,0,6,1,0,5,17,21,10,0,0,1,1
230,0,10,9,1,8,0,6,1,1,51,42,12,29,0,0,1,2
231,0,8,1,1,8,0,6,1,0,9,7,21,20,1,1,1,1
232,0,8,10,1,7,0,9,0,0,19,72,15,50,1,1,1,2
233,1,1,1,1,7,1,3,1,1,32,80,58,46,1,1,1,2
234,0,0,0,1,7,1,3,1,1,32,60,58,66,1,1,1,2
235,0,0,0,1,7,1,3,1,0,12,8,18,26,0,0,1,1
236,0,1,1,1,7,1,3,1,0,52,10,13,6,0,0,1,1
237,0,0,0,1,7,1,3,1,0,72,80,58,66,1,1,1,2
238,1,0,0,1,7,1,3,1,1,72,80,58,66,1,1,1,2
239,0,7,7,1,7,1,3,1,1,92,80,88,76,1,1,0,3
240,0,0,0,1,7,1,3,1,1,72,80,98,96,1,0,0,3
241,0,7,7,1,7,1,3,1,0,72,80,58,86,1,1,0,2
242,0,0,0,1,7,1,3,1,0,22,20,18,6,0,0,1,1
243,0,7,0,1,7,1,3,1,0,12,20,38,46,0,0,1,2
244,0,0,0,1,7,1,0,1,1,70,92,83,85,1,0,0,3
245,1,0,0,1,6,0,0,1,0,50,40,52,66,1,0,0,2
246,1,0,0,1,6,0,3,1,0,80,94,62,77,1,1,0,3
247,1,0,0,1,6,0,10,1,0,87,48,82,96,0,0,1,2
248,1,0,0,1,6,0,9,1,0,70,40,2,16,0,0,1,1
249,0,0,0,0,4,0,0,1,0,65,86,62,40,0,1,1,2
250,0,0,0,0,4,0,10,1,0,15,6,32,40,1,1,0,3
251,0,7,7,0,4,0,4,1,1,19,74,32,17,0,1,1,1
252,1,0,0,0,4,0,3,1,0,69,76,82,94,0,0,0,2
253,0,0,0,0,4,0,2,1,0,39,26,12,44,0,0,1,1
254,0,0,0,0,4,0,4,1,0,59,97,42,70,1,1,0,3
255,0,0,0,0,4,0,11,1,0,10,17,12,40,1,1,0,3
256,1,0,0,0,4,0,11,1,1,80,87,72,60,0,1,0,3
257,1,0,0,0,4,0,11,1,0,70,99,66,65,0,1,0,2
258,1,0,0,0,4,0,11,1,0,80,97,86,95,1,1,0,2
259,0,0,0,0,4,0,4,1,1,69,34,12,17,0,0,1,1
260,0,0,0,0,4,0,11,1,0,10,17,12,14,0,0,1,1
261,0,0,0,0,4,0,11,1,0,61,97,82,64,1,0,1,2
262,1,0,0,0,4,0,11,1,1,21,27,52,34,1,1,1,2
263,0,7,7,0,4,0,10,1,1,49,94,42,7,0,0,1,2
264,1,1,1,1,6,0,4,0,1,70,64,42,32,0,0,0,2
265,1,1,1,1,6,0,4,1,1,79,84,82,37,0,0,0,3
266,0,1,1,1,6,0,4,0,0,19,80,12,17,1,1,1,2
267,0,1,1,1,6,0,4,1,0,11,70,32,29,1,1,1,2
268,0,1,1,1,6,0,4,0,0,10,8,10,10,1,0,1,2
269,0,1,1,1,6,0,4,1,0,18,28,40,20,1,0,1,2
270,1,1,1,1,6,0,4,0,1,90,84,52,30,0,1,0,3
271,1,1,1,1,6,0,4,1,1,92,81,32,36,0,1,0,2
272,0,1,1,1,6,0,4,0,0,42,21,2,16,0,0,0,2
273,0,1,1,1,6,0,4,1,0,22,20,6,26,0,0,0,3
274,1,4,3,1,6,0,4,0,1,95,82,82,70,1,1,0,3
275,1,4,3,1,6,0,4,1,1,90,62,80,60,1,1,0,3
276,0,2,1,1,6,0,4,0,1,72,21,22,26,1,1,0,3
277,0,2,1,1,6,0,4,1,1,92,31,42,27,1,1,0,3
278,0,2,1,1,6,0,4,0,1,82,31,52,25,0,1,0,2
279,0,2,1,1,6,0,4,1,1,72,41,46,27,0,1,0,2
280,0,3,2,1,6,0,4,0,1,74,71,56,37,0,1,0,3
281,0,3,2,1,6,0,4,1,1,74,60,56,37,0,1,0,3
282,1,1,1,1,6,0,4,0,1,95,94,72,80,0,1,0,3
283,1,1,1,1,6,0,4,1,1,97,87,82,86,0,1,0,3
284,0,1,1,1,6,0,4,0,0,40,38,32,36,0,0,1,2
285,0,1,1,1,6,0,4,1,0,41,39,35,39,1,0,1,2
286,1,1,1,1,6,0,4,0,1,51,79,85,89,1,1,0,3
287,1,1,1,1,6,0,4,1,1,81,79,91,85,1,1,0,3
288,0,2,1,1,6,0,4,0,1,71,70,65,69,1,1,0,2
289,0,2,1,1,6,0,4,1,1,75,71,76,80,1,1,0,2
290,1,1,1,0,4,0,3,0,0,49,36,32,44,0,0,1,1
291,1,1,1,0,4,0,3,1,0,42,24,12,24,0,0,1,1
292,1,2,6,0,4,0,3,0,1,90,86,82,74,1,1,0,3
293,1,2,6,0,4,0,3,1,1,62,64,72,84,1,1,0,3
294,0,3,2,0,4,0,3,0,0,90,86,82,74,1,1,1,2
295,0,3,2,0,4,0,3,1,0,62,64,72,84,1,1,1,2
296,1,1,1,0,4,0,3,0,1,98,87,86,84,0,1,0,3
297,1,1,1,0,4,0,3,1,1,72,74,82,89,0,1,0,3
298,0,1,1,0,4,0,3,0,0,18,17,26,34,0,1,1,2
299,0,1,1,0,4,0,3,1,0,32,14,32,29,0,1,1,2
300,0,1,1,0,4,0,3,0,0,10,12,20,13,0,0,1,1
301,0,1,1,0,4,0,3,1,0,22,34,15,9,0,0,1,1
302,1,1,1,0,4,1,3,0,1,11,20,21,23,0,0,0,2
303,1,1,1,0,4,1,3,1,1,12,44,25,39,0,0,0,2
304,1,1,1,0,4,1,3,0,0,15,50,24,43,1,0,0,2
305,1,1,1,0,4,1,3,1,0,32,44,29,89,1,0,0,2
306,0,1,1,0,4,1,3,0,1,65,59,74,83,1,1,0,3
307,0,1,1,0,4,1,3,1,1,72,64,59,89,1,1,0,3
308,0,2,1,0,4,1,3,0,1,95,57,74,89,1,1,1,2
309,0,2,1,0,4,1,3,1,1,82,84,79,79,1,1,1,2
310,0,1,1,0,4,1,3,0,0,25,29,34,33,0,1,1,2
311,0,1,1,0,4,1,3,1,0,42,34,29,39,0,1,1,2
312,1,1,1,0,4,1,3,0,1,55,79,44,43,1,1,0,3
313,1,1,1,0,4,1,3,1,1,62,64,69,49,1,1,0,3
314,1,1,3,0,4,1,3,0,1,78,88,74,83,1,1,0,3
315,1,1,3,0,4,1,3,1,1,72,84,89,89,1,1,0,3
316,0,1,1,0,2,0,1,0,1,60,92,83,23,1,1,0,3
317,0,1,1,0,2,0,1,1,1,50,90,83,13,1,1,0,3
318,1,1,1,0,2,0,1,0,1,60,97,13,3,1,1,0,3
319,1,1,1,0,2,0,1,1,1,50,95,23,10,1,1,0,3
320,1,1,1,0,2,0,1,0,1,60,87,23,11,1,1,1,2
321,1,1,1,0,2,0,1,1,1,50,80,20,15,1,1,1,2
322,0,1,1,0,2,0,1,0,0,10,15,10,21,0,0,1,1
323,0,1,1,0,2,0,1,1,0,30,10,20,5,0,0,1,1
324,0,8,10,0,2,0,1,0,0,24,35,18,31,0,0,0,2
325,0,8,10,0,2,0,1,1,0,27,20,33,35,0,0,0,2
326,0,1,1,0,2,0,1,0,0,10,15,10,21,0,0,1,1
327,0,1,1,0,2,0,1,1,0,30,10,20,5,0,0,1,1
328,1,1,6,0,2,0,1,0,1,80,77,63,83,1,1,0,2
329,1,1,6,0,2,0,1,1,1,75,85,73,80,1,1,0,2
330,0,1,1,0,2,0,1,0,0,40,7,50,41,0,1,1,1
331,0,1,1,0,2,0,1,1,0,35,2,29,33,0,1,1,1
332,1,1,1,0,2,0,1,0,1,10,90,30,21,0,1,0,2
333,1,1,1,0,2,0,1,1,1,25,80,29,23,0,1,0,2
334,0,11,11,0,2,0,1,0,1,10,8,9,3,0,1,1,1
335,0,11,11,0,2,0,1,1,1,15,7,12,7,0,1,1,1
336,1,2,1,0,2,0,1,0,1,70,90,20,21,0,1,0,2
337,1,2,1,0,2,0,1,1,1,75,80,15,20,0,1,0,2
338,1,2,1,0,2,1,1,0,0,78,98,10,11,0,1,0,2
339,1,2,1,0,2,1,1,1,0,79,89,11,14,0,1,0,2
340,1,3,2,0,2,1,1,0,0,16,90,15,11,0,1,0,2
341,1,3,2,0,2,1,1,1,0,17,80,13,10,0,1,0,2
342,0,1,1,0,2,1,1,0,1,40,87,50,41,0,0,0,2
343,0,1,1,0,2,1,1,1,1,35,92,29,33,0,0,0,2
344,1,1,1,0,2,1,1,0,1,14,97,15,14,0,1,0,3
345,1,1,1,0,2,1,1,0,1,13,82,20,30,0,1,0,3
346,1,1,1,0,2,1,1,1,1,24,97,15,14,0,1,0,3
347,1,1,1,0,2,1,1,1,1,23,82,20,30,0,1,0,3
348,0,11,11,0,2,1,1,0,1,20,3,9,3,0,1,1,1
349,0,11,11,0,2,1,1,1,1,15,4,12,7,0,1,1,1
350,0,7,7,0,2,1,1,0,1,5,13,6,6,0,1,1,1
351,0,7,7,0,2,1,1,1,1,7,9,11,10,0,1,1,1
352,1,1,1,0,2,1,1,0,1,10,94,40,11,1,1,0,2
353,1,1,1,0,2,1,1,1,1,25,89,21,13,1,1,0,2
354,0,1,1,0,2,1,1,0,1,30,98,42,21,1,1,0,3
355,0,1,1,0,2,1,1,1,1,35,97,41,23,1,1,0,3
356,0,1,1,0,2,1,1,0,0,32,88,32,25,1,1,0,2
357,0,1,1,0,2,1,1,1,0,25,87,21,27,1,1,0,2
358,1,4,3,0,2,1,1,0,1,72,98,52,15,1,1,0,3
359,1,4,3,0,2,1,1,1,1,75,90,51,17,1,1,0,3
360,0,1,1,0,2,0,2,0,0,20,88,31,28,1,1,1,2
361,0,1,1,0,2,0,2,1,0,10,98,41,38,1,1,1,2
362,0,2,1,0,2,0,2,0,0,90,98,41,38,1,1,0,3
363,0,2,1,0,2,0,2,1,0,80,88,51,39,1,1,0,3
364,0,3,2,0,2,0,2,0,0,80,95,21,28,1,1,0,3
365,0,3,2,0,2,0,2,1,0,78,70,31,29,1,1,0,3
366,0,1,1,0,2,0,2,0,0,10,18,71,38,1,1,1,2
367,0,1,1,0,2,0,2,1,0,10,58,51,48,1,1,1,2
368,1,2,1,0,2,0,2,0,1,98,88,60,31,0,1,0,3
369,1,2,1,0,2,0,2,1,1,75,81,51,34,0,1,0,3
370,0,1,1,0,2,0,2,0,0,10,17,50,21,0,0,0,2
371,0,1,1,0,2,0,2,1,0,35,2,29,23,0,0,0,2
372,1,1,1,0,2,0,2,0,0,10,20,22,97,0,0,1,1
373,1,1,1,0,2,0,2,1,0,5,9,19,98,0,0,1,1
374,0,1,1,0,2,1,2,0,0,10,10,40,51,0,0,1,1
375,0,1,1,0,2,1,2,1,0,35,2,29,23,0,0,1,1
376,0,1,1,0,2,1,2,0,1,20,90,50,61,1,0,1,2
377,0,1,1,0,2,1,2,1,1,32,82,59,63,1,0,1,2
378,0,1,1,0,2,1,2,0,0,10,30,50,91,1,0,1,1
379,0,1,1,0,2,1,2,1,0,12,22,59,83,1,0,1,1
380,1,1,1,0,2,1,2,0,0,11,20,20,98,0,0,1,1
381,1,1,1,0,2,1,2,1,0,10,12,29,93,0,0,1,1
